algo,n,trial,time_ms,visited_nodes
A*,20,0,8.448600769042969,0
Dijkstra,20,0,1.1644363403320312,0
BFS,20,0,0.6704330444335938,0
A*,20,1,0.8509159088134766,0
Dijkstra,20,1,1.3887882232666016,0
BFS,20,1,0.6690025329589844,0
A*,20,2,0.6923675537109375,0
Dijkstra,20,2,1.3551712036132812,0
BFS,20,2,0.6098747253417969,0
A*,20,3,0.9899139404296875,0
Dijkstra,20,3,1.1792182922363281,0
BFS,20,3,0.6031990051269531,0
A*,20,4,0.99945068359375,0
Dijkstra,20,4,1.7590522766113281,0
BFS,20,4,0.6151199340820312,0
A*,20,5,1.6930103302001953,0
Dijkstra,20,5,2.259492874145508,0
BFS,20,5,0.6117820739746094,0
A*,20,6,1.7650127410888672,0
Dijkstra,20,6,2.2084712982177734,0
BFS,20,6,1.4848709106445312,0
A*,20,7,1.0933876037597656,0
Dijkstra,20,7,2.043008804321289,0
BFS,20,7,1.9168853759765625,0
A*,20,8,2.3479461669921875,0
Dijkstra,20,8,2.173900604248047,0
BFS,20,8,1.461029052734375,0
A*,20,9,1.7223358154296875,0
Dijkstra,20,9,1.497030258178711,0
BFS,20,9,0.7257461547851562,0
A*,50,0,15.64788818359375,0
Dijkstra,50,0,10.739564895629883,0
BFS,50,0,4.087686538696289,0
A*,50,1,6.699562072753906,0
Dijkstra,50,1,14.340639114379883,0
BFS,50,1,12.288808822631836,0
A*,50,2,9.741067886352539,0
Dijkstra,50,2,8.666276931762695,0
BFS,50,2,8.577823638916016,0
A*,50,3,6.558895111083984,0
Dijkstra,50,3,8.150100708007812,0
BFS,50,3,4.0130615234375,0
A*,50,4,9.341955184936523,0
Dijkstra,50,4,12.595176696777344,0
BFS,50,4,4.152536392211914,0
A*,50,5,5.4874420166015625,0
Dijkstra,50,5,11.791467666625977,0
BFS,50,5,8.856058120727539,0
A*,50,6,9.484529495239258,0
Dijkstra,50,6,8.070707321166992,0
BFS,50,6,4.207134246826172,0
A*,50,7,0.022649765014648438,0
Dijkstra,50,7,0.014781951904296875,0
BFS,50,7,0.010967254638671875,0
A*,50,8,9.008646011352539,0
Dijkstra,50,8,14.13106918334961,0
BFS,50,8,4.831552505493164,0
A*,50,9,6.346464157104492,0
Dijkstra,50,9,12.89224624633789,0
BFS,50,9,8.156538009643555,0
A*,100,0,43.450355529785156,0
Dijkstra,100,0,60.054779052734375,0
BFS,100,0,32.36508369445801,0
A*,100,1,47.72329330444336,0
Dijkstra,100,1,39.835214614868164,0
BFS,100,1,29.129505157470703,0
A*,100,2,42.92583465576172,0
Dijkstra,100,2,46.24032974243164,0
BFS,100,2,25.308847427368164,0
A*,100,3,31.024694442749023,0
Dijkstra,100,3,43.95914077758789,0
BFS,100,3,24.39570426940918,0
A*,100,4,32.587528228759766,0
Dijkstra,100,4,58.65597724914551,0
BFS,100,4,35.83669662475586,0
A*,100,5,43.4412956237793,0
Dijkstra,100,5,47.00517654418945,0
BFS,100,5,34.46221351623535,0
A*,100,6,38.53940963745117,0
Dijkstra,100,6,53.94339561462402,0
BFS,100,6,34.876108169555664,0
A*,100,7,39.80398178100586,0
Dijkstra,100,7,44.634342193603516,0
BFS,100,7,32.27806091308594,0
A*,100,8,37.969112396240234,0
Dijkstra,100,8,49.32594299316406,0
BFS,100,8,32.10926055908203,0
A*,100,9,41.44167900085449,0
Dijkstra,100,9,65.81377983093262,0
BFS,100,9,63.82393836975098,0
